datetime,BMS Temp,BatteryAdaptiveSOC,BatteryAdaptiveAmphours,AuxilaryBatteryVoltage
2023-06-27 15:30:29.686167,128,1799,171,32
2023-06-27 15:30:31.686066,128,1799,171,32
2023-06-27 15:30:33.685832,128,1799,171,32
2023-06-27 15:30:35.685672,128,1799,171,32
2023-06-27 15:30:37.685576,128,1799,171,32
2023-06-27 15:30:39.685411,129,1799,171,32
2023-06-27 15:30:41.685162,128,1799,171,32
2023-06-27 15:30:43.685037,128,1799,171,32
2023-06-27 15:30:45.684885,128,1799,171,32
2023-06-27 15:30:47.684782,128,1799,171,32
2023-06-27 15:30:49.684640,128,1799,171,32
2023-06-27 15:30:51.684484,128,1799,171,32
2023-06-27 15:30:53.684242,128,1799,171,32
2023-06-27 15:30:55.684090,128,1799,171,32
2023-06-27 15:30:57.683937,128,1799,171,32
2023-06-27 15:30:59.683847,128,1799,171,32
2023-06-27 15:31:01.683640,128,1799,171,32
2023-06-27 15:31:03.683464,128,1799,171,32
2023-06-27 15:31:05.683380,128,1799,171,32
2023-06-27 15:31:07.683127,128,1799,171,32
2023-06-27 15:31:09.682998,128,1799,171,32
2023-06-27 15:31:11.682906,128,1799,171,32
2023-06-27 15:31:13.682685,128,1799,171,32
2023-06-27 15:31:15.682595,128,1799,171,32
2023-06-27 15:31:17.682445,128,1799,171,32
2023-06-27 15:31:19.682220,128,1799,171,32
2023-06-27 15:31:21.682132,128,1799,171,32
2023-06-27 15:31:23.681911,128,1799,171,32
2023-06-27 15:31:25.681754,128,1799,171,32
2023-06-27 15:31:27.681668,128,1799,171,32
2023-06-27 15:31:29.681455,128,1799,171,32
2023-06-27 15:31:31.681367,128,1799,171,32
2023-06-27 15:31:33.681044,128,1799,171,32
2023-06-27 15:31:35.681058,128,1799,171,32
2023-06-27 15:31:37.680829,128,1799,171,32
2023-06-27 15:31:39.680812,128,1799,171,32
2023-06-27 15:31:41.680519,128,1799,171,32
2023-06-27 15:31:43.680369,128,1799,171,32
2023-06-27 15:31:45.680214,128,1799,171,32
2023-06-27 15:31:47.680060,128,1799,171,32
2023-06-27 15:31:49.679906,128,1799,171,32
2023-06-27 15:31:51.679780,128,1799,171,32
2023-06-27 15:31:53.679670,128,1799,171,32
2023-06-27 15:31:55.679456,128,1799,171,32
2023-06-27 15:31:57.679370,128,1799,171,32
2023-06-27 15:31:59.679053,128,1799,171,32
2023-06-27 15:32:01.679065,128,1799,171,32
2023-06-27 15:32:03.678835,128,1799,171,32
2023-06-27 15:32:05.678751,128,1799,171,32
2023-06-27 15:32:07.678606,128,1798,171,32
2023-06-27 15:32:09.678376,128,1798,171,32
2023-06-27 15:32:11.678218,128,1798,171,32
2023-06-27 15:32:13.678067,128,1798,171,32
2023-06-27 15:32:15.677990,128,1798,171,32
2023-06-27 15:32:17.677757,128,1798,171,32
2023-06-27 15:32:19.677706,128,1798,171,32
2023-06-27 15:32:21.677519,128,1798,171,32
2023-06-27 15:32:23.677322,128,1798,171,32
2023-06-27 15:32:25.677110,128,1798,171,32
2023-06-27 15:32:27.677071,128,1798,171,32
2023-06-27 15:32:29.676840,128,1798,171,32
2023-06-27 15:32:31.676750,128,1798,171,32
2023-06-27 15:32:33.676575,128,1798,171,32
2023-06-27 15:32:35.676481,128,1798,171,32
2023-06-27 15:32:37.676331,128,1798,171,32
2023-06-27 15:32:39.676081,128,1798,171,32
2023-06-27 15:32:41.675972,128,1798,171,32
2023-06-27 15:32:43.675791,128,1798,171,32
2023-06-27 15:32:45.675619,128,1798,171,32
2023-06-27 15:32:47.675574,128,1798,171,32
2023-06-27 15:32:49.675316,128,1798,171,32
2023-06-27 15:32:51.675103,128,1798,171,32
2023-06-27 15:32:53.675029,128,1798,171,32
2023-06-27 15:32:55.674904,128,1798,171,32
2023-06-27 15:32:57.674733,128,1798,171,32
2023-06-27 15:32:59.674637,128,1798,171,32
2023-06-27 15:33:01.674483,128,1798,171,32
2023-06-27 15:33:03.674266,128,1798,171,32
2023-06-27 15:33:05.674171,128,1798,171,32
2023-06-27 15:33:07.673978,128,1798,171,32
2023-06-27 15:33:09.673876,128,1798,171,32
2023-06-27 15:33:11.673756,128,1798,171,32
2023-06-27 15:33:13.673485,128,1798,171,32
2023-06-27 15:33:15.673403,128,1798,171,32
2023-06-27 15:33:17.673110,128,1798,171,32
2023-06-27 15:33:19.673031,128,1798,171,32
2023-06-27 15:33:21.672970,128,1798,171,32
2023-06-27 15:33:23.672773,128,1798,171,32
2023-06-27 15:33:25.672648,128,1798,171,32
2023-06-27 15:33:27.672510,128,1798,171,32
2023-06-27 15:33:29.672340,128,1798,171,32
2023-06-27 15:33:31.672197,128,1798,171,32
2023-06-27 15:33:33.672039,128,1798,171,32
2023-06-27 15:33:35.671813,128,1797,171,32
2023-06-27 15:33:37.671728,128,1797,171,32
2023-06-27 15:33:39.671507,128,1797,171,32
2023-06-27 15:33:41.671355,128,1797,171,32
2023-06-27 15:33:43.671095,128,1797,171,32
2023-06-27 15:33:45.671059,128,1797,171,32
2023-06-27 15:33:47.670986,128,1797,171,32
2023-06-27 15:33:49.670751,128,1797,171,32
2023-06-27 15:33:51.670625,128,1797,171,32
2023-06-27 15:33:53.670465,128,1797,171,32
2023-06-27 15:33:55.670289,128,1797,171,32
2023-06-27 15:33:57.670142,128,1797,171,32
2023-06-27 15:33:59.670053,128,1797,171,32
2023-06-27 15:34:01.669240,128,1797,171,32
2023-06-27 15:34:03.669746,128,1797,171,32
2023-06-27 15:34:05.669528,128,1797,171,32
2023-06-27 15:34:07.669444,128,1797,171,32
2023-06-27 15:34:09.669127,128,1796,171,32
2023-06-27 15:34:11.669160,128,1796,171,32
2023-06-27 15:34:13.668925,128,1796,171,32
2023-06-27 15:34:15.668822,128,1796,171,32
2023-06-27 15:34:17.668692,128,1796,171,32
2023-06-27 15:34:19.668473,128,1796,171,32
2023-06-27 15:34:21.668381,128,1796,171,32
2023-06-27 15:34:23.668162,128,1796,171,32
2023-06-27 15:34:25.668009,128,1796,171,32
2023-06-27 15:34:27.667966,128,1795,171,32
2023-06-27 15:34:29.667707,128,1795,171,32
2023-06-27 15:34:31.667631,128,1795,171,32
2023-06-27 15:34:33.667433,128,1795,171,32
2023-06-27 15:34:35.668475,128,1795,170,32
2023-06-27 15:34:37.670820,128,1795,170,32
2023-06-27 15:34:39.672618,128,1795,170,32
2023-06-27 15:34:41.674381,128,1795,170,32
2023-06-27 15:34:43.676068,128,1795,170,32
2023-06-27 15:34:45.677715,128,1795,170,32
2023-06-27 15:34:47.679349,128,1795,170,32
2023-06-27 15:34:49.680834,128,1795,170,32
2023-06-27 15:34:51.682320,128,1795,170,32
2023-06-27 15:34:53.683769,128,1795,170,32
2023-06-27 15:34:55.685253,128,1795,170,32
2023-06-27 15:34:57.686567,128,1795,170,32
2023-06-27 15:34:59.687877,128,1795,170,32
2023-06-27 15:35:01.689135,128,1795,170,32
2023-06-27 15:35:03.690425,128,1795,170,32
2023-06-27 15:35:05.691642,128,1794,170,32
2023-06-27 15:35:07.692890,128,1794,170,32
2023-06-27 15:35:09.693996,128,1794,170,32
2023-06-27 15:35:11.695147,128,1794,170,32
2023-06-27 15:35:13.696163,128,1794,170,32
