datetime,BMS Temp,BatteryAdaptiveSOC,BatteryAdaptiveAmphours,AuxilaryBatteryVoltage
2023-06-27 16:16:19.893108,12.9,177.10000000000002,84.0,35
2023-06-27 16:16:21.893107,12.9,177.0,84.0,35
2023-06-27 16:16:23.892492,12.9,177.0,84.0,35
2023-06-27 16:16:25.893312,12.9,177.0,84.0,35
2023-06-27 16:16:27.893345,12.9,177.0,84.0,35
2023-06-27 16:16:29.893421,12.8,177.0,84.0,35
2023-06-27 16:16:31.893521,12.9,177.0,84.0,35
2023-06-27 16:16:33.893625,12.9,177.0,84.0,35
2023-06-27 16:16:35.893497,12.9,177.0,84.0,35
2023-06-27 16:16:37.893647,12.9,177.0,84.0,35
2023-06-27 16:16:39.893721,12.9,177.0,84.0,35
2023-06-27 16:16:41.893456,12.9,177.0,84.0,35
2023-06-27 16:16:43.893463,12.9,177.0,84.0,35
2023-06-27 16:16:45.893902,12.9,177.0,84.0,35
2023-06-27 16:16:47.894040,12.9,177.0,84.0,35
2023-06-27 16:16:49.894039,12.9,177.0,84.0,35
2023-06-27 16:16:51.894214,12.9,177.0,84.0,35
2023-06-27 16:16:53.893638,12.9,177.0,84.0,35
2023-06-27 16:16:55.894252,12.9,177.0,84.0,35
2023-06-27 16:16:57.894319,12.9,177.0,84.0,35
2023-06-27 16:16:59.894471,12.9,177.0,84.0,35
2023-06-27 16:17:01.894409,12.9,177.0,84.0,35
2023-06-27 16:17:03.894573,12.9,177.0,84.0,35
2023-06-27 16:17:05.894594,12.9,177.0,84.0,35
2023-06-27 16:17:07.894734,12.9,177.0,84.0,35
2023-06-27 16:17:09.894733,12.9,177.0,84.0,35
2023-06-27 16:17:11.894449,12.200000000000001,177.0,84.0,35
2023-06-27 16:17:15.634565,12.9,177.0,84.0,35
2023-06-27 16:17:17.634697,12.9,177.0,84.0,35
2023-06-27 16:17:19.634777,12.9,177.0,84.0,35
2023-06-27 16:17:21.634767,12.9,177.0,84.0,35
2023-06-27 16:17:23.634901,12.9,177.0,84.0,35
2023-06-27 16:17:25.634980,12.9,177.0,84.0,35
2023-06-27 16:17:27.635040,12.9,177.0,84.0,35
2023-06-27 16:17:29.635030,12.9,177.0,84.0,35
2023-06-27 16:17:31.635099,12.9,177.0,84.0,35
2023-06-27 16:17:33.635233,12.9,177.0,84.0,35
2023-06-27 16:17:35.635311,12.9,177.0,84.0,35
2023-06-27 16:17:37.635370,12.9,177.0,84.0,35
2023-06-27 16:17:39.635334,12.9,177.0,84.0,35
2023-06-27 16:17:41.635453,12.9,177.0,84.0,35
2023-06-27 16:17:43.635562,12.9,177.0,84.0,35
2023-06-27 16:17:45.635561,12.9,177.0,84.0,35
2023-06-27 16:17:47.635702,12.9,177.0,84.0,35
2023-06-27 16:17:49.635762,12.9,177.0,84.0,35
2023-06-27 16:17:51.635771,12.9,177.0,84.0,35
2023-06-27 16:17:53.635832,12.9,177.0,84.0,35
2023-06-27 16:17:55.635966,12.9,177.0,84.0,35
2023-06-27 16:17:57.636033,12.9,177.0,84.0,35
2023-06-27 16:17:59.636043,12.9,177.0,84.0,35
2023-06-27 16:18:01.636189,12.8,177.0,84.0,35
2023-06-27 16:18:03.636231,12.9,177.0,84.0,35
2023-06-27 16:18:05.636132,12.9,177.0,84.0,35
2023-06-27 16:18:07.636298,12.9,177.0,84.0,35
2023-06-27 16:18:09.636429,12.9,177.0,84.0,35
2023-06-27 16:18:11.636443,12.9,177.0,84.0,35
2023-06-27 16:18:13.636583,12.9,177.0,84.0,35
2023-06-27 16:18:15.636573,12.9,177.0,84.0,35
2023-06-27 16:18:17.636739,12.9,177.0,84.0,35
2023-06-27 16:18:19.636699,12.9,177.0,84.0,35
2023-06-27 16:18:21.636832,12.9,177.0,84.0,35
2023-06-27 16:18:23.636704,12.9,177.0,84.0,35
2023-06-27 16:18:25.636897,12.9,177.0,84.0,35
2023-06-27 16:18:27.636976,12.9,177.0,84.0,35
2023-06-27 16:18:29.637104,12.9,177.0,84.0,35
2023-06-27 16:18:31.637067,12.9,177.0,84.0,35
2023-06-27 16:18:33.637167,12.9,177.0,84.0,35
2023-06-27 16:18:35.637236,12.9,177.0,84.0,35
2023-06-27 16:18:37.636635,12.9,177.0,84.0,35
2023-06-27 16:18:39.637442,12.9,177.0,84.0,35
2023-06-27 16:18:41.637430,12.9,177.0,84.0,35
2023-06-27 16:18:43.637565,12.9,177.0,84.0,35
2023-06-27 16:18:45.637586,12.9,177.0,84.0,35
2023-06-27 16:18:47.637732,12.9,177.0,84.0,35
2023-06-27 16:18:49.637709,12.9,177.0,84.0,35
2023-06-27 16:18:51.637831,12.9,177.0,84.0,35
2023-06-27 16:18:53.637759,12.9,177.0,84.0,35
2023-06-27 16:18:55.637735,12.9,177.0,84.0,35
2023-06-27 16:18:57.637624,12.9,177.0,84.0,35
2023-06-27 16:18:59.637774,12.9,177.0,84.0,35
2023-06-27 16:19:01.637779,12.8,177.0,84.0,35
2023-06-27 16:19:03.637757,12.9,177.0,84.0,35
