datetime,Battery SOC,Battery Amphour,Battery Average Temp,Battery Current
2023-06-27 15:55:31.536321,84.5,178.3,26,198.0420168067227
2023-06-27 15:55:33.536453,84.5,178.3,26,198.31176470588238
2023-06-27 15:55:35.536447,84.5,178.3,26,175.35916666666668
2023-06-27 15:55:37.536573,84.5,178.3,26,90.92773109243697
2023-06-27 15:55:39.536564,84.5,178.3,26,90.93361344537816
2023-06-27 15:55:41.536625,84.5,178.3,26,90.93193277310924
2023-06-27 15:55:43.536693,84.5,178.3,26,90.93025210084035
2023-06-27 15:55:45.536767,84.5,178.3,26,90.19000000000001
2023-06-27 15:55:47.536882,84.5,178.3,26,141.61344537815125
2023-06-27 15:55:49.539080,84.5,178.3,26,176.70252100840338
2023-06-27 15:55:51.537013,84.5,178.3,26,183.35042016806725
2023-06-27 15:55:53.539245,84.5,178.3,26,177.075
2023-06-27 15:55:55.538984,84.5,178.3,26,178.59579831932774
2023-06-27 15:55:57.537202,84.5,178.3,26,178.10252100840336
2023-06-27 15:55:59.537186,84.5,178.3,26,177.5806722689076
2023-06-27 15:56:01.537253,84.5,178.3,26,176.51416666666668
2023-06-27 15:56:03.537332,84.5,178.3,26,178.1781512605042
2023-06-27 15:56:05.537373,84.5,178.3,26,178.31176470588238
2023-06-27 15:56:07.537466,84.5,178.3,26,177.79495798319329
2023-06-27 15:56:09.537564,84.5,178.3,26,177.9529411764706
2023-06-27 15:56:11.537567,84.5,178.3,26,176.43583333333336
2023-06-27 15:56:13.537615,84.5,178.3,26,177.81680672268908
2023-06-27 15:56:15.540020,84.5,178.3,26,177.90504201680673
2023-06-27 15:56:17.537749,84.5,178.3,26,177.99915966386556
2023-06-27 15:56:19.537882,84.5,178.3,26,176.6575
2023-06-27 15:56:21.537869,84.5,178.3,26,178.63781512605044
2023-06-27 15:56:23.537935,84.5,178.3,26,178.66890756302521
2023-06-27 15:56:25.537995,84.5,178.3,26,178.4949579831933
2023-06-27 15:56:27.538135,84.5,178.20000000000002,26,177.17833333333334
2023-06-27 15:56:29.538117,84.5,178.20000000000002,26,178.636974789916
2023-06-27 15:56:31.538189,84.5,178.20000000000002,26,178.53193277310928
2023-06-27 15:56:33.538243,84.5,178.20000000000002,26,178.07288135593222
2023-06-27 15:56:35.540760,84.5,178.20000000000002,26,178.27983193277313
2023-06-27 15:56:37.538448,84.5,178.20000000000002,26,177.14710743801655
2023-06-27 15:56:39.538512,84.5,178.20000000000002,26,178.05798319327732
2023-06-27 15:56:41.540693,84.5,178.20000000000002,26,178.45126050420168
2023-06-27 15:56:43.538632,84.5,178.20000000000002,26,177.84789915966388
2023-06-27 15:56:45.538626,84.5,178.20000000000002,26,176.39916666666667
2023-06-27 15:56:47.538676,84.5,178.20000000000002,26,177.6495798319328
2023-06-27 15:56:49.540849,84.5,178.20000000000002,26,180.11428571428573
2023-06-27 15:56:51.540853,84.5,178.20000000000002,26,177.51932773109246
2023-06-27 15:56:53.538969,84.5,178.20000000000002,26,176.02916666666667
2023-06-27 15:56:55.538997,84.5,178.20000000000002,26,177.5420168067227
2023-06-27 15:56:57.539068,84.5,178.20000000000002,26,177.62016806722693
2023-06-27 15:56:59.539053,84.5,178.20000000000002,26,177.6058823529412
2023-06-27 15:57:01.539193,84.5,178.20000000000002,26,177.55378151260504
2023-06-27 15:57:03.539181,84.5,178.20000000000002,26,176.14333333333335
2023-06-27 15:57:05.539328,84.5,178.20000000000002,26,177.67563025210086
2023-06-27 15:57:07.541439,84.5,178.20000000000002,26,177.5697478991597
2023-06-27 15:57:09.539445,84.5,178.20000000000002,26,177.83781512605043
2023-06-27 15:57:11.539438,84.5,178.20000000000002,26,176.44833333333335
2023-06-27 15:57:13.541711,84.5,178.20000000000002,26,178.2260504201681
2023-06-27 15:57:15.539558,84.5,178.20000000000002,26,177.80840336134455
2023-06-27 15:57:17.539612,84.5,178.10000000000002,26,179.11596638655465
2023-06-27 15:57:19.539696,84.5,178.10000000000002,26,176.31833333333333
2023-06-27 15:57:21.539748,84.5,178.10000000000002,26,177.89243697478992
2023-06-27 15:57:23.539900,84.5,178.10000000000002,26,178.11932773109245
