name,time,city,controller_temp,country,distance_travelled,drive_direction,motor_temp,seat_switch,state,vehicle_id,zipcode
controller_motor_status,2023-05-02T16:07:43.517Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:43.574Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:44.522Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:44.539Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:45.514Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:45.546Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:46.506Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:46.52Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:47.51Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:47.523Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:48.518Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:48.525Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:49.52Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:49.528Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:50.511Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:50.548Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:51.511Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:51.568Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:52.504Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:52.528Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:53.507Z,Tulare,27,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:53.525Z,Tulare,27,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:54.511Z,Tulare,27,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:54.523Z,Tulare,27,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:55.512Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:55.522Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
controller_motor_status,2023-05-02T16:07:56.506Z,Tulare,28,USA,64.86328,0,30,false,CA,mbx002vwbmz22003,95138
