name,time,battery_adaptive_total_capacity,battery_soh,battery_total_cycles,city,country,state,vehicle_id,zipcode
bms_battery_health,2023-05-25T20:25:12.28Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:13.297Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:14.311Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:15.313Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:16.293Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:17.29Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:18.299Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:19.283Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:20.311Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:21.302Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:22.336Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:23.28Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:24.279Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:25.357Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:26.88Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:33.665Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:35.74Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:36.86Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:37.801Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:38.867Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:40.668Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:41.866Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:44.798Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:45.751Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:46.823Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:48.765Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:50.68Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:51.661Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:53.477Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:55.233Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:56.199Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:57.924Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:58.83Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:25:59.735Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:00.781Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:01.758Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:02.503Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:03.344Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:04.285Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:05.284Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:06.278Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:07.304Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:08.29Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:09.277Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:10.325Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:11.331Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:12.287Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:13.282Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:14.282Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:15.314Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:16.273Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:17.275Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:18.29Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:19.373Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:20.921Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:27.833Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:28.611Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:30.842Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:31.888Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:33.556Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:36.834Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:38.01Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:39.015Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:41.817Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:47.546Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:50.928Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:51.719Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:56.369Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:57.662Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:58.763Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:26:59.713Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:01.621Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:02.402Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:03.412Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:05.538Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:06.596Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:08.659Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:11.307Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:12.385Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:13.425Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:16.132Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:17.071Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:21.646Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:23.465Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:25.399Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:27.615Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:29.691Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:31.343Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:32.394Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:33.49Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:34.175Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:35.458Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:36.45Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:38.177Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:39.219Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:40.285Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:41.423Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:43.113Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:44.342Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:45.322Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:47.375Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:48.601Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:49.365Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:50.184Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:50.943Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:51.77Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:52.452Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:53.326Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:54.313Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:55.318Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:56.325Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:57.293Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:58.293Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:27:59.28Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:00.319Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:01.377Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:02.294Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:03.335Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:04.322Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:05.3Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:06.391Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:07.326Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:08.302Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:09.348Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:10.282Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:11.331Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:12.278Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:13.304Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:14.29Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:15.285Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:16.285Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:17.29Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:18.303Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:19.326Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:20.301Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:21.342Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:22.334Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:23.291Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
bms_battery_health,2023-05-25T20:28:24.324Z,210,100,7,Tulare,USA,CA,mbx002vwbmz22003,95138
